"Title","Artist","ReviewBody","AlbumRating","AlbumFeelingRating","SongAvg","AlbumArt","Blurb","NextUpText","DatePosted","Listen1","Listen2","Listen3"
"When Your Heart Stops Beating","+44","The first and only album from +44, starts off rather strong with _Lycanthrope_. The Energy of this song tells you that that you are in for a classic pop punk album, and it continues for a couple songs until you remember that half of the band is [Blink-182](../../Blink-182/Blink-182_Artist_Review.md) and their last album was [Blink-182](../../Blink-182/Blink-182/Blink-182_Album_Review.md)... The album drops off after _When your Heart Stops Beating_ moving into the more slow, experimental nature that is featured on _Blink-182_. The songs _Little Death_ and _No It Isn't_ are both about the breakup of _Blink-182_, while _Little Death_ isn't a bad song by any means it can start to drag a bit on repeat listens. _No It Isn't_ on the other hand is fantastic build from the more experimental tracks back to the higher energy the album started with. _Make You Smile_ is the absolute best song on the album, the duet nature makes this song an absolute joy.  Overall I think the album is a solid mix of pre-breakup _Blink-182_ and a new evolution of pop punk. The album starts high then dips, but on the oathg the end starts to ramp, in my opinion, higher than the start. Sometimes the more experimental nature feels to drag, but overall I think the album is a solid 3 out of 5","3","3","3","\\OPENMEDIAVAULT\Media\Music\+44\When Your Heart Stops Beating\Cover.jpg","","Oh and Next weeks album is a blast from the past  Justice - (Cross)","2020-09-27T10:00:00,000","2020-09-22","2020-09-23","2020-09-24"
"(Cross)","Justice","Justice, I haven't thought about this band or this album in years, coming back to it though it doesn't really hold the same place for me. The album starts out with _Genesis_ its a nice buildup, telling you what to expect for the next 48 minutes, but feels as though it takes a bit too long to get to its point, this was a tough one since I do like it with the album as a whole but I don't think it holds up on its own merits. _Let There Be Light_ has some interesting charactists, but the extended distorted organ starts to wear thing fairly quickly. The transition between the previous and the next track, _D.A.N.C.E_ is also a little wonky. The radio changing effect between songs is always a little jarring for me, but I guess its not a bad way to transiiton from a slower song to a classic pop bop. Probably the only actual song people know off this album, it is quite the fun dance track bringing in funk elements with a classic 4 on the flour house beat. I do n the whole enjoy this song, but it can be a bit saccharine at times. Next up is _Newjack_ and while it does fit with the ascethitic of the album; the consistant high pass filters make it a fairly annoying listen on its own. _Phantom_ is a bit on the noise-y side, which I typically like, but it felt almost a little Jam-y which is not quite what the rest of the album feels like. What else needs to be said about _Phantom Part II_ that hasn't been covered by _Phantom_, it is just a continuation of the previous track and really should just be combined. _Valentine_ is a nice palette cleanser from the previous blocks of tracks. I feel its needed, but the song on its own is not really that great. This album so far might sound like a big miss rather than a nice trip down memory lane, that is until it hits with the next block of tracks, starting with _TThhee PPaarrttyy_. I have mixed feelings about this song, it is quite a great buildup to the next block of tracks, but as a solo play it doesn't really hold its own. _DVNO_ on the other hand, is a straight up jam. Such a fun bop, it almost jumped itself up a whole place. I know what I said about the previous noise-y, jam-y track, but _Stress_ owns it. It almost has a sythwave vibe, even though this album is about 15 years to young for that genre. _Waters Of Nazareth_ continues on the trend of the previous track, but picks up the pace a bit. The ending few tracks of this album are really what solidify the entire albums rating. Finally _One Minute to Midnight_ closes the album out, a nice respite from the last few tracks. Would be a lot higher if it didn't do that stupid minute of dead space at the end. Overall I do enjoy the album but it is on the low end of 3 out of 5. The strength of the last half of the album really carries it higher.","3","3","2.5","\\OPENMEDIAVAULT\Media\Music\Justice\(Cross)\Cover.jpg","Oh and Next weeks album is a blast from the past","NEXT UP:  its (ONe) by The Panic Channel  Woo, get ready for some but rock","2020-10-05T10:00:00,000","2020-09-28","2020-09-29","2020-09-30"
"(ONe)","The Panic Channel","This album is absolutely atrocious. `But Rock` at its... finest? Do you listen to [_Foo Fighters_](../../Foo%20Fighters/Foo_Fighters_Artist_Review.md) and wish they were more Generic? Then this is the band for you. Unlike most reviews where I listen 3-4 times to get ratings and really see what I think about the album, this time I think 2 listens is really enough. Ranging anywhere from ""this is fine"" to ""please make it stop"" this is not an album I will ever revisit. Its so bad in fact that I am seriously contemplating removing it from my library entirely.","1","1","1","\\OPENMEDIAVAULT\Media\Music\Panic Channel, The\(ONe)\Cover.jpg","Woo, get ready for some but rock","NEXT UP:  *.WAV SLAVE by BANDETTO","2020-10-12T10:00:00,000","2020-10-05","2020-10-06","2020-10-07"
"*.WAV SLAVE","BANDETTO","It turns out that I do not have as high a tolerance for Breakcore as I thought I did. The album overall isn't bad but I would like it better if I had a dance pad or some other foux instrument to go along with it. I feel like I don't have too much to say about each of the individual tracks since they blend together so much. With few standouts like _barf city_ and _amnesiac_ the album is fun but its really nothing special. A good listen if you are in the mood to party, but as an album to just listen to its just mediocre. ","3","3","2","\\OPENMEDIAVAULT\Media\Music\BANDETTO\-.WAV SLAVE\BANDETTO - -.WAV SLAVE - cover.png","I never wrote a blurb for this one","NEXT UP:  ...And Out Come the Wolves by Rancid","2020-10-19T10:00:00,000","2020-10-15","2020-10-16","2020-10-17"
"...And Out Come The Wolves","Rancid","This album hops from absolute banger to banger. Not a dead spot to be found. Starts out strong with _Maxwell Murder_, pulling into the power chord chorus of _The 11th Hour_. The ablum starts to really pick up with _Time Bomb_, its got that catchy chorus that breaks right into that classic ska breakdown. _Olympia WA_ has that shredding solo to prove that they can do more than just power chords. You can really feel the punk roots showing in _Lock, Step & Gone_, sounds just like a Clash song turned just a little more modern. And the titular track of the album, _Junkie Man_, even though the title is just part of of the outro of the song. _Listed M.I.A._ brings home how different, yet the same every track on this album is. I am definitely showing my bias towards loud, fast, punk music here. _Ruby Soho_ The best track on the album, even though Punk isn't supposed to be chorus heavy, Ska is on the other hand. So far this also marks the first 5 star song rating I have given out, hopefully got some more coming. The next few songs: _Daily City Train_, _Journey to the End of East Bay_, and _She's Automatic_; are all not bad songs, but nothing worth really pointing out. _Old Friend_ really starts to brings back the classic ska stroke.  _Disorder and Disarray_ Is in my opinion the last hurrah of this album, everything after is still good but nothing super memorable.  Overall this has been my favorite album of the relisten so far. This album hits every chord for a fun, ska-punk, album should. This album is definitely going back into heavy rotation.","4","4","3","\\OPENMEDIAVAULT\Media\Music\Rancid\And Out Come the Wolves\Cover.jpg","","NEXT UP:  [ Movements ] by Solar Fields  I think this is a video game soundtrack, idk?","2020-10-26T10:00:00,000","2020-10-22","2020-10-23","2020-10-24"
"[ Movements ]","Solar Fields","So Heres the hard part about reviewing Ambient Albums, I like ambient but only in certain situations and moods. So while I do enjoy this album, it is not something I could see myself really listening to all that often. The Album does start strong with a nice long build on _Sol_, then kind of chills out and meanders a while for tracks like _Circles of Motion_ and _Discovering_. _The Stones are not too Busy_ starts to pick it back up over its 10 minute duration, but then again starts to chill out again. I have a hard time of coming up with new things to say about an ambient track, becuase you aren't really supposed to _Listen_ to them, so much as they are supposed to be background noise to help you focus or put you in a mood. Its the same way with a lot of Post rock for me as well. _Das Bungalow_ is pulling me back in, I like a bit of up-tempo with my ambient. I could very easily see this album being the OST for a space puzzle game. Its got that nice open sound while still holding you in the moment, it has a nice air-y breath-y sound qualities as well.","3","3","2","\\OPENMEDIAVAULT\Media\Music\Solar Fields\[ Movements ]\Cover.jpg","I think this is a video game soundtrack, idk?","NEXT UP:  10,000 Days by Tool  y'all are seriously sleeping on Tool","2020-11-02T10:00:00,000","2020-10-29","2020-10-30","2020-10-31"
"10,000 Days","Tool","This album was my introduction to Tool. I liked it at the time but I didn't quite appreciate it until I got older. The way they bend progressive tendancies with metal is jaw dropping. The opening track, _Vicarious_, has this awesome slow build until it gets into the song proper. I think a lot of people just associate Tool with the people who like Tool, instead of necassarily appreciating the music for what it is. The album meanders a bit for a few tracks, it has an interesting build with _Wings For Marie_ but the payoff in _10,000 Days_ isn't quite enough for me. The Everything changes when we get to the song _The Pot_ this song is fantastic, and the first Tool song I ever heard. remember how I said everything was changing, that was wishful thinking. The next two tracks _Lipan Conjuring_ and _Lost Keys (Blame Hofmann)_, are just noise/intermission tracks. Have I ever mentioned how much I hate when artists do this. HOOO BOYYY. Next up is _Rosetta Stoned_, eleven minutes and eleven seconds of pure jam, if it was shorter it might get the coveted five out of five. The album keeps doing this flip flop of really solid tracks with just noise, it would be different if the noise tracks led into the others, but they seem to be there just to be there. _Right in Two_ brings the album back right into that groove. The last track on the album, _Viginti Tres_, is another just noise track.  I really like the album overall, but the noise tracks really hamper it from being a fantastic album.","3","4","2.6","\\OPENMEDIAVAULT\Media\Music\Tool\10,000 Days\Cover.jpg","y'all are seriously sleeping on Tool","NEXT UP:  1039 SMoothed Out Slappy Hours by Green Day  it's basically a compilation of all their early albums and eps","2020-11-06T10:00:00,000","2020-10-29","2020-10-30","2020-10-31"
"1039 Smoothed Out Slappy Hours","Green Day","This album is a compilation of Green Days Frist album and a few of their early EPs. As far as it goes it is a great listen, theres a few notable tracks, but for the most part it is just bog standard Punk. _The Judge's Daughter_ is a notable standout for me, the shredding solo at the end really kicks the song up a notch. HOLY SHIT, I take it all back. The second half of this album fucking kicks ass, _Dry Ice_ to _The One I Want_ are absolute bangers, this album might skew higher than my initial reactions. Nice mix of catchy but also in your face. You can definitely see how Green Day will transition to pop punk as they get older, but right now this album is exactl waht Late 80s, early 90s punk was about. This album really shows the musicianship of the group, it starts off with power chord after power chord, but then it evolves over the course of the album and you can see those roots and then see how it grows past them.","3","3","3.1","\\OPENMEDIAVAULT\Media\Music\Green Day\1039 Smoothed Out Slappy Hours\Cover.jpg","it's basically a compilation of all their early albums and eps","NEXT UP:  13 by Blur  this is not the album with Track 2","2020-11-09T10:00:00,000","2020-11-05","2020-11-06","2020-11-07"
"13","Blur","I've never actually listened to this Blur album all the way through before. I can't say I've ever really found myself so wishy washy on an album before. I seemed to alternate every track, with either liking it or hating it. _Coffee & TV_ was surprising hit on the album for me, but apart from that it was pretty touch and go. _Optigan 1_ was your standard noise interlude, which I hate, and then _Tender_, seven minutes of a boring slow song, no thank you. Overall I didn't hate this album, but I didn't really find anything special in it that I really liked.","2","2","2.3","\\OPENMEDIAVAULT\Media\Music\Blur\13\Cover.jpg","this is not the album with Track 2","NEXT UP:  18 by Moby  I wonder if this is the album with the Bourne Theme Song (it is)","2020-11-13T10:00:00,000","2020-11-05","2020-11-06","2020-11-07"
"18","Moby","I've listened to a bunch of moby tracks before this, never a full album, and liked what I've listened too. This album feels very swing-y too me; in the sense that it swings from good to bad throughout the album. It starts out pretty space-y with _We Are All Made of Stars_ but slowely transitions to another just boring slow track _The Great Escape_. After this track the album starts to build up again until it gets to _Extreme Ways_ this was the Bourne trilogy theme song and what initially got me into Moby, and its followed up with _Jam for the Ladies_ which I really like but doesn't fit the theme of the album at all. Unfortunately after this the album really drops off for me. If it wasn't for the two songs I mentioned above this album would be a solid 2, but with those additions it just barely eeks out a 3.","3","3","2.3","\\OPENMEDIAVAULT\Media\Music\Moby\18\Cover.jpg","I wonder if this is the album with the Bourne Theme Song (it is)","NEXT UP:  1983 by Flying Lotus  The first album, arguably one of the greatest showings of his raw talent","2020-11-16T10:00:00,000","2020-11-12","2020-11-13","2020-11-14"
